译文,原文
异怪（特征）,aberration(trait)
能力,ability
许可,access
酸蚀,acid(damage type)
酸蚀（特征）,acid(trait)
特技,Acrobatics(skill)
动作,actions
行动,activity
精金,adamantine(material)
急救（技能动作）,Administer First Aid  (skill action)
冒险,adventure
冒险道具,adventuring gear
空中战斗,aerial combat
苦难,affliction
年代,age
预言破灭之年,Age of Lost Omens
灵巧（武器特征）,agile(weapon trait)
协助（基础动作）,Aid  (basic action)
气（特征）,air(trait)
半精灵（特征）（艾瓦林）,aiuvarin(trait)
炼金（特征）,alchemical(trait)
炼金道具,alchemical gear
盟友,ally
弹药,ammunition
两栖（特征）,amphibious(trait)
禁忌,anathema
族裔,ancestry
天使（特征）,angel(trait)
动物（特征）,animal(trait)
动物伙伴,animal companion
巅峰（特征）,apex(trait)
水栖（特征）,aEtherealquatic(trait)
水中战斗,aquatic combat
奥法（技能）,Arcana(skill)
奥术（特征）,arcane(trait)
变体,archetype
变体（特征）,archetype(trait)
圣使（特征）,archon(trait)
区域,area
护甲,armor
护甲等级（AC）,Armor Class (AC)
着陆（特殊基础动作）,Arrest a Fall(specialty basic action)
辅助物品,assistive items
运动（技能）,Athletics(skill)
附着（特征）,attached(weapon trait)
攻击（特征）,attack(trait)
攻击,attack
态度,attitudes
属性提升,attribute boost
属性缺陷,attribute flaw
属性调整值,attribute modifier
听觉（特征）,auditory (trait)
灵光（特征）,aura(trait)
转移目光（特殊基础动作）,Avert Gaze  (specialty basic action)
避人耳目（探索行动）,Avoid Notice(exploration activity)
灵使（特征）,azata(trait)
背景,background
背刺（武器特征）,backstabber(weapon trait)
回摆（武器特征）,backswing(weapon trait)
保持平衡（技能动作）,Balance  (skill action)
吟游诗人（职业）,bard(class)
吟游诗人（特征）,bard(trait)
坐骑护甲,barding
底线,baseline
基础动作,basic action
魔兽（特征）,beast(trait)
流血（伤害类型）,bleed(damage type)
目盲（状态）,blinded(condition)
钝击（伤害类型）,bludgeoning(damage type)
炸弹（特征）,bomb(trait)
加值,bonus
借阅奥术（技能动作）,Borrow an Arcane Spell(skill action)
明亮光照,bright light
破损（状态）,broken(condition)
破损阈值（BT）,Broken Threshold (BT)
负载,Bulk
壁垒（特征）,bulwark(armor trait)
掘地（特殊基础动作）,Burrow (specialty basic action)
爆发（区域）,burst(area)
战役,campaign
戏法（特征）,cantrip(trait)
施法（行动）,Cast a Spell(activity)
天族（特征）,celestial(trait)
替换儿（特征）,changeling(trait)
角色,character
角色卡,character sheet
魅力（Cha）,Charisma (Cha)
检定,check
环境加值,circumstance bonus
环境减值,circumstance penalty
职业,class
职业DC,class DC
职业特性,class feature
牧师（职业）,cleric(class)
牧师（特征）,cleric(trait)
攀爬（技能动作）,Climb(skill action)
笨拙（状态）,clumsy(condition)
胁迫（技能动作）,Coerce(skill action)
钱币,coins
